Brand                     | Model                | Trim                                | Drivetrain
Kgm                       | Actyon               | Top Line                            | 
Kgm                       | Tivoli               | Tivoli Automtic                     | 
Kgm                       | Tivoli Xlv           | Tivoli Xlv Automtic                 | 
Kgm                       | Torres               | Advance                             | 
Kgm                       | Torres               | Black Edition                       | 
Kgm                       | Torres               | Comfort                             | 
Kgm                       | Torres               | Luxury                              | 
Kgm                       | Torres               | Premium                             | 
Kia                       | Carnival             | Top Line                            | 
Kia                       | Ev3                  | Air                                 | 
Kia                       | Ev3                  | Earth                               | 
Kia                       | Ev3                  | Gt-Line                             | 
Kia                       | Ev5                  | Air                                 | 
Kia                       | Ev5                  | Earth                               | 
Kia                       | Ev5                  | Gt-Line                             | 
Kia                       | Ev6                  | Earth                               | 
Kia                       | Ev6                  | Gt-Line                             | 
Kia                       | Ev9                  | Gt-Line                             | 
Kia                       | Ev9                  | Gt-Line Relaxing                    | 
Kia                       | Ev9                  | Gt-Line Swivelling                  | 
Kia                       | Ev9                  | Gt-LineRelaxing                     | 
Kia                       | Grand Cerato         | Ex Cam                              | 
Kia                       | Grand Cerato         | Highline                            | 
Kia                       | Grand Cerato         | Lx Fo                               | 
Kia                       | K4                   | Gt-Line                             | 
Kia                       | K4                   | Gt-Line Black Edition               | 
Kia                       | K4                   | Highline                            | 
Kia                       | Seltos               | Ex                                  | 
Kia                       | Seltos               | Highline                            | 
Kia                       | Seltos               | Top Line                            | 
Kia                       | Sorento              | Topline                             | 
Kia                       | Sportage             | Ex                                  | 
Kia                       | Sportage             | Gt-Line                             | 
Kia                       | Sportage             | Highline                            | 
Kia                       | Sportage             | Lx                                  | 
Kia                       | Sportage             | Premium                             | 
Kia                       | Sportage             | Top Line                            | 
Kia                       | Xceed                | Highline                            | 
Kia                       | Xceed                | Panorama                            | 
Li Auto                   | L6                   | Pro                                 | 
Li Auto                   | L7                   | Ultra                               | 
Li Auto                   | L9                   | Ultra                               | 
Lotus                     | Emeya                | Base                                | 
Lotus                     | Emeya                | R                                   | 
Lotus                     | Emeya                | S                                   | 
Lynk & co                 | 2                    | Halo                                | 
Lynk & co                 | 6                    | Core Plus                           | 
Lynk & co                 | 6                    | Hyper Halo                          | 
Lynk & co                 | 6                    | Hyper Pro                           | 
M-Hero                    | 917                  | Signature                           | 
Maserati                  | Granturismo          | Modena                              | 
Maserati                  | Granturismo          | Trofeo                              | 
Maserati                  | Grecale              | Modena                              | 
Mazda                     | 3                    | Highline                            | 
Mazda                     | Cx3                  | Highline                            | 
Mercedes                  | A200                 | Progressive                         | 
Mercedes                  | B200                 | Progressive                         | 
Mercedes                  | C180                 | Avantgarde Plus                     | 
Mercedes                  | C180                 | Sport                               | 
