Car Title,Brand,Model,Price,Year,Trim,Mileage,Condition,Transmission,Fuel Type,CC,Color,Location,Body Type,Image Paths,URL
Used Peugeot 3008 1.6T GT Line 2016,Peugeot,3008,"EGP 670,000",2016,1.6T Gt Line,"150,000 KM",Used,Automatic,Petrol,"1,600",Black,Cairo,SUV,images_yallamotor\peugeot_3008_2016_27433\img_1.jpeg; images_yallamotor\peugeot_3008_2016_27433\img_2.jpeg; images_yallamotor\peugeot_3008_2016_27433\img_3.jpeg; images_yallamotor\peugeot_3008_2016_27433\img_4.jpeg; images_yallamotor\peugeot_3008_2016_27433\img_5.jpeg; images_yallamotor\peugeot_3008_2016_27433\img_6.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2016/used-peugeot-3008-2016-cairo-1483697
Used Peugeot 3008 GT Line 2016,Peugeot,3008,"EGP 780,000",2016,Gt Line,"106,000 KM",Used,Automatic,Petrol,"1,600",Black,Cairo,SUV,images_yallamotor\peugeot_3008_2016_46045\img_1.jpg; images_yallamotor\peugeot_3008_2016_46045\img_2.jpeg; images_yallamotor\peugeot_3008_2016_46045\img_3.jpeg; images_yallamotor\peugeot_3008_2016_46045\img_4.jpeg; images_yallamotor\peugeot_3008_2016_46045\img_5.jpeg; images_yallamotor\peugeot_3008_2016_46045\img_6.jpeg; images_yallamotor\peugeot_3008_2016_46045\img_7.jpeg; images_yallamotor\peugeot_3008_2016_46045\img_8.jpeg; images_yallamotor\peugeot_3008_2016_46045\img_9.jpeg; images_yallamotor\peugeot_3008_2016_46045\img_10.jpeg; images_yallamotor\peugeot_3008_2016_46045\img_11.jpeg; images_yallamotor\peugeot_3008_2016_46045\img_12.jpeg; images_yallamotor\peugeot_3008_2016_46045\img_13.jpeg; images_yallamotor\peugeot_3008_2016_46045\img_14.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2016/used-peugeot-3008-2016-cairo-1714792
Used Peugeot 3008 GT Line 2017,Peugeot,3008,"EGP 770,000",2017,Gt Line,"98,000 KM",Used,Automatic,Petrol,"1,600",Silver,Alexandria,SUV,images_yallamotor\peugeot_3008_2017_77916\img_1.jpeg; images_yallamotor\peugeot_3008_2017_77916\img_2.jpeg; images_yallamotor\peugeot_3008_2017_77916\img_3.jpeg; images_yallamotor\peugeot_3008_2017_77916\img_4.jpeg; images_yallamotor\peugeot_3008_2017_77916\img_5.jpeg; images_yallamotor\peugeot_3008_2017_77916\img_6.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2017/used-peugeot-3008-2017-alexandria-1675427
Used Peugeot 3008 1.6T GT 2019,Peugeot,3008,"EGP 1,400,000",2019,1.6T Gt,"119,000 KM",Used,Automatic,Petrol,"1,598",White,6th of October City,SUV,images_yallamotor\peugeot_3008_2019_95381\img_1.jpeg; images_yallamotor\peugeot_3008_2019_95381\img_2.jpeg; images_yallamotor\peugeot_3008_2019_95381\img_3.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2019/used-peugeot-3008-2019-6th-of-october-city-2043145
Used Peugeot 3008 GT Line 2019,Peugeot,3008,"EGP 950,000",2019,Gt Line,"240,000 KM",Used,Automatic,Petrol,"1,600",Gray,Alexandria,Hatchback,images_yallamotor\peugeot_3008_2019_6256\img_1.jpeg; images_yallamotor\peugeot_3008_2019_6256\img_2.jpeg; images_yallamotor\peugeot_3008_2019_6256\img_3.jpeg; images_yallamotor\peugeot_3008_2019_6256\img_4.jpeg; images_yallamotor\peugeot_3008_2019_6256\img_5.jpeg; images_yallamotor\peugeot_3008_2019_6256\img_6.jpeg; images_yallamotor\peugeot_3008_2019_6256\img_7.jpeg; images_yallamotor\peugeot_3008_2019_6256\img_8.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2019/used-peugeot-3008-2019-alexandria-1622539
Used Peugeot 3008 1.6T Allure 2020,Peugeot,3008,"EGP 1,400,000",2020,1.6T Allure,"42,000 KM",Used,Automatic,Petrol,"1,598",Blue,Beni Sweif,Other,images_yallamotor\peugeot_3008_2020_55740\img_1.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2020/used-peugeot-3008-2020-beni-sweif-1735000
Used Peugeot 3008 1.6T GT Line 2020,Peugeot,3008,"EGP 1,700,000",2020,1.6T Gt Line,"100,000 KM",Used,automatic,Petrol,"1,598",Blue,Cairo,SUV,images_yallamotor\peugeot_3008_2020_63679\img_1.jpg; images_yallamotor\peugeot_3008_2020_63679\img_2.jpg; images_yallamotor\peugeot_3008_2020_63679\img_3.jpg; images_yallamotor\peugeot_3008_2020_63679\img_4.jpg; images_yallamotor\peugeot_3008_2020_63679\img_5.jpg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2020/used-peugeot-3008-2020-cairo-1549952
Used Peugeot 3008 1.6T GT Line 2020,Peugeot,3008,"EGP 2,000,000",2020,1.6T Gt Line,"74,000 KM",Used,automatic,Petrol,"1,598",Red,Cairo,SUV,images_yallamotor\peugeot_3008_2020_79680\img_1.jpg; images_yallamotor\peugeot_3008_2020_79680\img_2.jpg; images_yallamotor\peugeot_3008_2020_79680\img_3.jpg; images_yallamotor\peugeot_3008_2020_79680\img_4.jpg; images_yallamotor\peugeot_3008_2020_79680\img_5.jpg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2020/used-peugeot-3008-2020-cairo-1566515
Used Peugeot 3008 1.6T Allure 2020,Peugeot,3008,"EGP 1,450,000",2020,1.6T Allure,"77,000 KM",Used,Automatic,Petrol,"1,600",White,Cairo,SUV,images_yallamotor\peugeot_3008_2020_95424\img_1.jpg; images_yallamotor\peugeot_3008_2020_95424\img_2.jpg; images_yallamotor\peugeot_3008_2020_95424\img_3.jpg; images_yallamotor\peugeot_3008_2020_95424\img_4.jpg; images_yallamotor\peugeot_3008_2020_95424\img_5.jpg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2020/used-peugeot-3008-2020-cairo-1722146
Used Peugeot 3008 1.6T GT Line 2020,Peugeot,3008,"EGP 1,890,000",2020,1.6T Gt Line,"42,000 KM",Used,Automatic,Petrol,"1,598",Gold,Cairo,SUV,images_yallamotor\peugeot_3008_2020_9863\img_1.jpg; images_yallamotor\peugeot_3008_2020_9863\img_2.jpg; images_yallamotor\peugeot_3008_2020_9863\img_3.jpg; images_yallamotor\peugeot_3008_2020_9863\img_4.jpg; images_yallamotor\peugeot_3008_2020_9863\img_5.jpg; images_yallamotor\peugeot_3008_2020_9863\img_6.jpg; images_yallamotor\peugeot_3008_2020_9863\img_7.jpg; images_yallamotor\peugeot_3008_2020_9863\img_8.jpg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2020/used-peugeot-3008-2020-cairo-1761672
Used Peugeot 3008 1.6T Allure 2020,Peugeot,3008,"EGP 1,600,000",2020,1.6T Allure,"71,000 KM",Used,Automatic,Petrol,"1,598",Brown,Delta,SUV,images_yallamotor\peugeot_3008_2020_77541\img_1.jpeg; images_yallamotor\peugeot_3008_2020_77541\img_2.jpeg; images_yallamotor\peugeot_3008_2020_77541\img_3.jpeg; images_yallamotor\peugeot_3008_2020_77541\img_4.jpeg; images_yallamotor\peugeot_3008_2020_77541\img_5.jpeg; images_yallamotor\peugeot_3008_2020_77541\img_6.jpeg; images_yallamotor\peugeot_3008_2020_77541\img_7.jpeg; images_yallamotor\peugeot_3008_2020_77541\img_8.jpeg; images_yallamotor\peugeot_3008_2020_77541\img_9.jpeg; images_yallamotor\peugeot_3008_2020_77541\img_10.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2020/used-peugeot-3008-2020-delta-1598415
Used Peugeot 3008 1.6T Active 2021,Peugeot,3008,"EGP 2,350,000",2021,1.6T Active,"4,000 KM",Used,Automatic,Petrol,"1,600",Red,Alexandria,Hatchback,images_yallamotor\peugeot_3008_2021_2755\img_1.jpg; images_yallamotor\peugeot_3008_2021_2755\img_2.jpg; images_yallamotor\peugeot_3008_2021_2755\img_3.jpg; images_yallamotor\peugeot_3008_2021_2755\img_4.jpg; images_yallamotor\peugeot_3008_2021_2755\img_5.jpg; images_yallamotor\peugeot_3008_2021_2755\img_6.jpg; images_yallamotor\peugeot_3008_2021_2755\img_7.jpg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2021/used-peugeot-3008-2021-alexandria-1578708
Used Peugeot 3008 Premium 2021,Peugeot,3008,"EGP 1,550,000",2021,Premium,"22,000 KM",Used,Automatic,Petrol,"1,600",Blue,Cairo,SUV,images_yallamotor\peugeot_3008_2021_22413\img_1.jpg; images_yallamotor\peugeot_3008_2021_22413\img_2.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/3008/2021/used-peugeot-3008-2021-cairo-1641301
