Car Title,Brand,Model,Price,Year,Trim,Mileage,Condition,Transmission,Fuel Type,CC,Color,Location,Body Type,Image Paths,URL
Used Opel Mokka 2022,Opel,Mokka,"EGP 1,280,000",2022,Base/Standard,"104,000 KM",Used,-,Petrol,"1,600",White,Cairo,SUV,images_yallamotor\opel_mokka_2022_97931\img_1.jpg; images_yallamotor\opel_mokka_2022_97931\img_2.jpg; images_yallamotor\opel_mokka_2022_97931\img_3.jpg; images_yallamotor\opel_mokka_2022_97931\img_4.jpg,https://egypt.yallamotor.com/used-cars/opel/mokka/2022/used-opel-mokka-2022-cairo-1768078
Used Opel Mokka 1.2T GS Line 2022,Opel,Mokka,"EGP 950,000",2022,1.2T Gs Line,"120,000 KM",Used,Automatic,Petrol,"1,199",Red,Cairo,Hatchback,images_yallamotor\opel_mokka_2022_68789\img_1.jpg; images_yallamotor\opel_mokka_2022_68789\img_2.jpg; images_yallamotor\opel_mokka_2022_68789\img_3.jpg; images_yallamotor\opel_mokka_2022_68789\img_4.jpg; images_yallamotor\opel_mokka_2022_68789\img_5.jpg,https://egypt.yallamotor.com/used-cars/opel/mokka/2022/used-opel-mokka-2022-cairo-2067101
Used Opel Mokka 2022,Opel,Mokka,"EGP 990,000",2022,Base/Standard,"58,000 KM",Used,-,Petrol,"1,600",Silver,Cairo,Sedan,images_yallamotor\opel_mokka_2022_84332\img_1.jpg; images_yallamotor\opel_mokka_2022_84332\img_2.jpg; images_yallamotor\opel_mokka_2022_84332\img_3.jpg,https://egypt.yallamotor.com/used-cars/opel/mokka/2022/used-opel-mokka-2022-cairo-2071887
Used Opel Mokka 2022,Opel,Mokka,"EGP 1,010,000",2022,Base/Standard,"70,000 KM",Used,-,Petrol,"1,600",White,Cairo,Sedan,images_yallamotor\opel_mokka_2022_95738\img_1.jpg; images_yallamotor\opel_mokka_2022_95738\img_2.jpg; images_yallamotor\opel_mokka_2022_95738\img_3.jpg; images_yallamotor\opel_mokka_2022_95738\img_4.jpg,https://egypt.yallamotor.com/used-cars/opel/mokka/2022/used-opel-mokka-2022-cairo-2071892
Used Opel Mokka 2022,Opel,Mokka,"EGP 940,000",2022,Base/Standard,"93,000 KM",Used,-,Petrol,"1,600",Red,Cairo,Sedan,images_yallamotor\opel_mokka_2022_9735\img_1.jpg; images_yallamotor\opel_mokka_2022_9735\img_2.jpg; images_yallamotor\opel_mokka_2022_9735\img_3.jpg; images_yallamotor\opel_mokka_2022_9735\img_4.jpg,https://egypt.yallamotor.com/used-cars/opel/mokka/2022/used-opel-mokka-2022-cairo-2074255
Used Opel Mokka 2022,Opel,Mokka,"EGP 960,000",2022,Base/Standard,"58,000 KM",Used,-,Petrol,"1,600",Gray,Cairo,Sedan,images_yallamotor\opel_mokka_2022_24128\img_1.jpg; images_yallamotor\opel_mokka_2022_24128\img_2.jpg; images_yallamotor\opel_mokka_2022_24128\img_3.jpg,https://egypt.yallamotor.com/used-cars/opel/mokka/2022/used-opel-mokka-2022-cairo-2075086
Used Opel Mokka 2022,Opel,Mokka,"EGP 940,000",2022,Base/Standard,"58,000 KM",Used,-,Petrol,"1,600",Silver,Cairo,Sedan,images_yallamotor\opel_mokka_2022_78458\img_1.jpg; images_yallamotor\opel_mokka_2022_78458\img_2.jpg; images_yallamotor\opel_mokka_2022_78458\img_3.jpg; images_yallamotor\opel_mokka_2022_78458\img_4.jpg,https://egypt.yallamotor.com/used-cars/opel/mokka/2022/used-opel-mokka-2022-cairo-2077995
Used Opel Mokka 2024,Opel,Mokka,"EGP 1,250,000",2024,Base/Standard,"19,000 KM",Used,Automatic,Petrol,"1,400",Black,Cairo,Sedan,images_yallamotor\opel_mokka_2024_91721\img_1.jpg; images_yallamotor\opel_mokka_2024_91721\img_2.jpg; images_yallamotor\opel_mokka_2024_91721\img_3.jpg; images_yallamotor\opel_mokka_2024_91721\img_4.jpg,https://egypt.yallamotor.com/used-cars/opel/mokka/2024/used-opel-mokka-2024-cairo-2050849
Used Opel Mokka 2024,Opel,Mokka,"EGP 1,150,000",2024,Base/Standard,"19,000 KM",Used,-,Petrol,"1,600",Black,Cairo,Sedan,images_yallamotor\opel_mokka_2024_4240\img_1.jpg; images_yallamotor\opel_mokka_2024_4240\img_2.jpg; images_yallamotor\opel_mokka_2024_4240\img_3.jpg; images_yallamotor\opel_mokka_2024_4240\img_4.jpg,https://egypt.yallamotor.com/used-cars/opel/mokka/2024/used-opel-mokka-2024-cairo-2063303
Used Opel Mokka 2024,Opel,Mokka,"EGP 1,100,000",2024,Base/Standard,"19,000 KM",Used,-,Petrol,"1,600",Black,Cairo,Sedan,images_yallamotor\opel_mokka_2024_18252\img_1.jpg; images_yallamotor\opel_mokka_2024_18252\img_2.jpg; images_yallamotor\opel_mokka_2024_18252\img_3.jpg,https://egypt.yallamotor.com/used-cars/opel/mokka/2024/used-opel-mokka-2024-cairo-2067991
429 Too Many Requests,Opel,Vectra,N/A,1995,429 Too Many Requests,N/A,Used,N/A,N/A,N/A,N/A,N/A,N/A,,https://egypt.yallamotor.com/used-cars/opel/vectra/1995/used-opel-vectra-1995-obour-city-1639749
Used Opel Vectra Sedan 1996,Opel,Vectra,"EGP 230,000",1996,Sedan,"256,000 KM",Used,Automatic,Petrol,"2,000",Gold,Alexandria,Sedan,images_yallamotor\opel_vectra_1996_77793\img_1.jpg; images_yallamotor\opel_vectra_1996_77793\img_2.jpg; images_yallamotor\opel_vectra_1996_77793\img_3.jpg; images_yallamotor\opel_vectra_1996_77793\img_4.jpg,https://egypt.yallamotor.com/used-cars/opel/vectra/1996/used-opel-vectra-1996-alexandria-2079012
Used Opel Vectra Sedan 1996,Opel,Vectra,"EGP 185,000",1996,Sedan,"300,000 KM",Used,Manual,Petrol,"1,600",Maroon,Cairo,Sedan,images_yallamotor\opel_vectra_1996_89231\img_1.jpeg; images_yallamotor\opel_vectra_1996_89231\img_2.jpeg; images_yallamotor\opel_vectra_1996_89231\img_3.jpeg; images_yallamotor\opel_vectra_1996_89231\img_4.jpeg; images_yallamotor\opel_vectra_1996_89231\img_5.jpeg; images_yallamotor\opel_vectra_1996_89231\img_6.jpeg; images_yallamotor\opel_vectra_1996_89231\img_7.jpeg; images_yallamotor\opel_vectra_1996_89231\img_8.jpeg; images_yallamotor\opel_vectra_1996_89231\img_9.jpeg; images_yallamotor\opel_vectra_1996_89231\img_10.jpeg; images_yallamotor\opel_vectra_1996_89231\img_11.jpeg; images_yallamotor\opel_vectra_1996_89231\img_12.jpeg; images_yallamotor\opel_vectra_1996_89231\img_13.jpeg; images_yallamotor\opel_vectra_1996_89231\img_14.jpeg; images_yallamotor\opel_vectra_1996_89231\img_15.jpeg,https://egypt.yallamotor.com/used-cars/opel/vectra/1996/used-opel-vectra-1996-cairo-1668120
Used Opel Vectra Sedan 1997,Opel,Vectra,"EGP 235,000",1997,Sedan,"150,000 KM",Used,Manual,Petrol,"1,600",Bronze,Alexandria,Sedan,images_yallamotor\opel_vectra_1997_19639\img_1.jpg; images_yallamotor\opel_vectra_1997_19639\img_2.jpg; images_yallamotor\opel_vectra_1997_19639\img_3.jpg; images_yallamotor\opel_vectra_1997_19639\img_4.jpg; images_yallamotor\opel_vectra_1997_19639\img_5.jpg; images_yallamotor\opel_vectra_1997_19639\img_6.jpg,https://egypt.yallamotor.com/used-cars/opel/vectra/1997/used-opel-vectra-1997-alexandria-2072734
Used Opel Vectra Sedan 1997,Opel,Vectra,"EGP 290,000",1997,Sedan,"294,754 KM",Used,Automatic,Petrol,"2,000",Gold,Cairo,Sedan,images_yallamotor\opel_vectra_1997_34797\img_1.jpg; images_yallamotor\opel_vectra_1997_34797\img_2.jpg; images_yallamotor\opel_vectra_1997_34797\img_3.jpg; images_yallamotor\opel_vectra_1997_34797\img_4.jpg; images_yallamotor\opel_vectra_1997_34797\img_5.jpg; images_yallamotor\opel_vectra_1997_34797\img_6.jpg; images_yallamotor\opel_vectra_1997_34797\img_7.jpg,https://egypt.yallamotor.com/used-cars/opel/vectra/1997/used-opel-vectra-1997-cairo-1690922
Used Opel Vectra Sedan 1998,Opel,Vectra,"EGP 228,000",1998,Sedan,"330,000 KM",Used,Automatic,Petrol,"2,000",Green,Giza,Sedan,images_yallamotor\opel_vectra_1998_52466\img_1.jpg; images_yallamotor\opel_vectra_1998_52466\img_2.jpg; images_yallamotor\opel_vectra_1998_52466\img_3.jpg; images_yallamotor\opel_vectra_1998_52466\img_4.jpg,https://egypt.yallamotor.com/used-cars/opel/vectra/1998/used-opel-vectra-1998-giza-1739502
Used Opel Vectra Sedan 2007,Opel,Vectra,"EGP 320,000",2007,Sedan,"245,000 KM",Used,Manual,Petrol,"1,000",Turqoise,Beheria,Sedan,images_yallamotor\opel_vectra_2007_6437\img_1.jpeg; images_yallamotor\opel_vectra_2007_6437\img_2.jpeg; images_yallamotor\opel_vectra_2007_6437\img_3.jpeg; images_yallamotor\opel_vectra_2007_6437\img_4.jpeg; images_yallamotor\opel_vectra_2007_6437\img_5.jpeg,https://egypt.yallamotor.com/used-cars/opel/vectra/2007/used-opel-vectra-2007-beheria-2069899
Used Opel Vectra Sedan 2007,Opel,Vectra,"EGP 310,000",2007,Sedan,"255,000 KM",Used,Manual,Petrol,"1,600",Teal,Beheria,Sedan,images_yallamotor\opel_vectra_2007_20972\img_1.jpeg; images_yallamotor\opel_vectra_2007_20972\img_2.jpeg; images_yallamotor\opel_vectra_2007_20972\img_3.jpeg; images_yallamotor\opel_vectra_2007_20972\img_4.jpeg; images_yallamotor\opel_vectra_2007_20972\img_5.jpeg,https://egypt.yallamotor.com/used-cars/opel/vectra/2007/used-opel-vectra-2007-beheria-2079021
Used Opel Vectra Sedan 2008,Opel,Vectra,"EGP 410,000",2008,Sedan,"177,000 KM",Used,Automatic,Petrol,"2,000",Gray,Giza,Sedan,images_yallamotor\opel_vectra_2008_34028\img_1.jpg; images_yallamotor\opel_vectra_2008_34028\img_2.jpg; images_yallamotor\opel_vectra_2008_34028\img_3.jpg; images_yallamotor\opel_vectra_2008_34028\img_4.jpg; images_yallamotor\opel_vectra_2008_34028\img_5.jpg,https://egypt.yallamotor.com/used-cars/opel/vectra/2008/used-opel-vectra-2008-giza-2083537
Used Peugeot 307 1991,Peugeot,-307,"EGP 140,000",1991,307,"15,000 KM",Used,Manual,Petrol,-,White,Alexandria,Sedan,images_yallamotor\peugeot_-307_1991_48240\img_1.jpg; images_yallamotor\peugeot_-307_1991_48240\img_2.jpg; images_yallamotor\peugeot_-307_1991_48240\img_3.jpg; images_yallamotor\peugeot_-307_1991_48240\img_4.jpg,https://egypt.yallamotor.com/used-cars/peugeot/-307/1991/used-peugeot--307-1991-alexandria-1614849
Used Peugeot 307 2006,Peugeot,-307,"EGP 420,000",2006,307,"200,000 KM",Used,Automatic,Petrol,"1,600",Purple,6th of October City,Hatchback,images_yallamotor\peugeot_-307_2006_60712\img_1.jpg; images_yallamotor\peugeot_-307_2006_60712\img_2.jpg; images_yallamotor\peugeot_-307_2006_60712\img_3.jpg; images_yallamotor\peugeot_-307_2006_60712\img_4.jpg; images_yallamotor\peugeot_-307_2006_60712\img_5.jpg; images_yallamotor\peugeot_-307_2006_60712\img_6.jpg,https://egypt.yallamotor.com/used-cars/peugeot/-307/2006/used-peugeot--307-2006-6th-of-october-city-1763262
429 Too Many Requests,Peugeot,-307,N/A,2006,429 Too Many Requests,N/A,Used,N/A,N/A,N/A,N/A,N/A,N/A,,https://egypt.yallamotor.com/used-cars/peugeot/-307/2006/used-peugeot--307-2006-cairo-1596144
Used Peugeot 307 2006,Peugeot,-307,"EGP 435,000",2006,307,"163,000 KM",Used,Automatic,Petrol,"1,600",Burgundy,Cairo,SUV,images_yallamotor\peugeot_-307_2006_27789\img_1.jpg; images_yallamotor\peugeot_-307_2006_27789\img_2.jpg; images_yallamotor\peugeot_-307_2006_27789\img_3.jpg; images_yallamotor\peugeot_-307_2006_27789\img_4.jpg; images_yallamotor\peugeot_-307_2006_27789\img_5.jpg,https://egypt.yallamotor.com/used-cars/peugeot/-307/2006/used-peugeot--307-2006-cairo-1596150
Used Peugeot 307 2006,Peugeot,-307,"EGP 375,000",2006,307,"165,000 KM",Used,Automatic,Petrol,"1,600",Burgundy,Obour City,SUV,images_yallamotor\peugeot_-307_2006_43630\img_1.jpg; images_yallamotor\peugeot_-307_2006_43630\img_2.jpg; images_yallamotor\peugeot_-307_2006_43630\img_3.jpg; images_yallamotor\peugeot_-307_2006_43630\img_4.jpg; images_yallamotor\peugeot_-307_2006_43630\img_5.jpg,https://egypt.yallamotor.com/used-cars/peugeot/-307/2006/used-peugeot--307-2006-obour-city-1674691
Used Peugeot 307 2007,Peugeot,-307,"EGP 510,000",2007,307,"155,000 KM",Used,Automatic,Petrol,"1,600",Black,Giza,Hatchback,images_yallamotor\peugeot_-307_2007_59050\img_1.jpg; images_yallamotor\peugeot_-307_2007_59050\img_2.jpg; images_yallamotor\peugeot_-307_2007_59050\img_3.jpg; images_yallamotor\peugeot_-307_2007_59050\img_4.jpg; images_yallamotor\peugeot_-307_2007_59050\img_5.jpg,https://egypt.yallamotor.com/used-cars/peugeot/-307/2007/used-peugeot--307-2007-giza-1592506
Used Peugeot 307 2007,Peugeot,-307,"EGP 360,000",2007,307,"170,000 KM",Used,Automatic,Petrol,"1,600",Black,Giza,Hatchback,images_yallamotor\peugeot_-307_2007_74970\img_1.jpg; images_yallamotor\peugeot_-307_2007_74970\img_2.jpg; images_yallamotor\peugeot_-307_2007_74970\img_3.jpg; images_yallamotor\peugeot_-307_2007_74970\img_4.jpg; images_yallamotor\peugeot_-307_2007_74970\img_5.jpg; images_yallamotor\peugeot_-307_2007_74970\img_6.jpg; images_yallamotor\peugeot_-307_2007_74970\img_7.jpg; images_yallamotor\peugeot_-307_2007_74970\img_8.jpg; images_yallamotor\peugeot_-307_2007_74970\img_9.jpg; images_yallamotor\peugeot_-307_2007_74970\img_10.jpg,https://egypt.yallamotor.com/used-cars/peugeot/-307/2007/used-peugeot--307-2007-giza-2069868
Used Peugeot 307 2015,Peugeot,-307,"EGP 390,000",2015,307,"280,000 KM",Used,-,Petrol,"1,600",Silver,Cairo,Sedan,images_yallamotor\peugeot_-307_2015_38219\img_1.jpg; images_yallamotor\peugeot_-307_2015_38219\img_2.jpg; images_yallamotor\peugeot_-307_2015_38219\img_3.jpg; images_yallamotor\peugeot_-307_2015_38219\img_4.jpg,https://egypt.yallamotor.com/used-cars/peugeot/-307/2015/used-peugeot--307-2015-cairo-2057703
429 Too Many Requests,Peugeot,2008,N/A,2015,429 Too Many Requests,N/A,Used,N/A,N/A,N/A,N/A,N/A,N/A,,https://egypt.yallamotor.com/used-cars/peugeot/2008/2015/used-peugeot-2008-2015-6th-of-october-city-1593562
Used Peugeot 2008 1.6L (115HP) Allure+ 2016,Peugeot,2008,"EGP 900,000",2016,1.6L (115Hp) Allure+,"70,000 KM",Used,Automatic,Petrol,"1,600",Silver,Cairo,SUV,images_yallamotor\peugeot_2008_2016_65178\img_1.jpg; images_yallamotor\peugeot_2008_2016_65178\img_2.jpg; images_yallamotor\peugeot_2008_2016_65178\img_3.jpg; images_yallamotor\peugeot_2008_2016_65178\img_4.jpg; images_yallamotor\peugeot_2008_2016_65178\img_5.jpg; images_yallamotor\peugeot_2008_2016_65178\img_6.jpg; images_yallamotor\peugeot_2008_2016_65178\img_7.jpg; images_yallamotor\peugeot_2008_2016_65178\img_8.jpg; images_yallamotor\peugeot_2008_2016_65178\img_9.jpg; images_yallamotor\peugeot_2008_2016_65178\img_10.jpg; images_yallamotor\peugeot_2008_2016_65178\img_11.jpg,https://egypt.yallamotor.com/used-cars/peugeot/2008/2016/used-peugeot-2008-2016-cairo-1559904
Used Peugeot 2008 1.6L (115HP) Active+ 2017,Peugeot,2008,"EGP 730,000",2017,1.6L (115Hp) Active+,"62,000 KM",Used,Automatic,Petrol,"1,600",Black,Cairo,Sedan,images_yallamotor\peugeot_2008_2017_90456\img_1.jpg; images_yallamotor\peugeot_2008_2017_90456\img_2.jpg; images_yallamotor\peugeot_2008_2017_90456\img_3.jpg; images_yallamotor\peugeot_2008_2017_90456\img_4.jpg; images_yallamotor\peugeot_2008_2017_90456\img_5.jpg,https://egypt.yallamotor.com/used-cars/peugeot/2008/2017/used-peugeot-2008-2017-cairo-1595073
Used Peugeot 2008 1.6L 115HP Allure+ 2018,Peugeot,2008,"EGP 895,000",2018,1.6L 115Hp Allure+,"55,000 KM",Used,Automatic,Petrol,"1,600",Red,Cairo,SUV,images_yallamotor\peugeot_2008_2018_6198\img_1.jpeg; images_yallamotor\peugeot_2008_2018_6198\img_2.jpeg; images_yallamotor\peugeot_2008_2018_6198\img_3.jpeg; images_yallamotor\peugeot_2008_2018_6198\img_4.jpeg; images_yallamotor\peugeot_2008_2018_6198\img_5.jpeg; images_yallamotor\peugeot_2008_2018_6198\img_6.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/2008/2018/used-peugeot-2008-2018-cairo-2062102
Used Peugeot 2008 1.6L (115HP) Active+ 2019,Peugeot,2008,"EGP 1,070,000",2019,1.6L (115Hp) Active+,"56,000 KM",Used,Automatic,Petrol,"1,600",White,Alexandria,Hatchback,images_yallamotor\peugeot_2008_2019_46790\img_1.jpg; images_yallamotor\peugeot_2008_2019_46790\img_2.jpg; images_yallamotor\peugeot_2008_2019_46790\img_3.jpg; images_yallamotor\peugeot_2008_2019_46790\img_4.jpg; images_yallamotor\peugeot_2008_2019_46790\img_5.jpg; images_yallamotor\peugeot_2008_2019_46790\img_6.jpg; images_yallamotor\peugeot_2008_2019_46790\img_7.jpg; images_yallamotor\peugeot_2008_2019_46790\img_8.jpg; images_yallamotor\peugeot_2008_2019_46790\img_9.jpg,https://egypt.yallamotor.com/used-cars/peugeot/2008/2019/used-peugeot-2008-2019-alexandria-1520913
Used Peugeot 2008 1.6L Active 2019,Peugeot,2008,"EGP 1,160,000",2019,1.6L Active,"158,000 KM",Used,automatic,Petrol,"1,598",Silver,Cairo,SUV,images_yallamotor\peugeot_2008_2019_68075\img_1.jpg; images_yallamotor\peugeot_2008_2019_68075\img_2.jpg; images_yallamotor\peugeot_2008_2019_68075\img_3.jpg; images_yallamotor\peugeot_2008_2019_68075\img_4.jpg; images_yallamotor\peugeot_2008_2019_68075\img_5.jpg,https://egypt.yallamotor.com/used-cars/peugeot/2008/2019/used-peugeot-2008-2019-cairo-1550676
Used Peugeot 2008 Active 2019,Peugeot,2008,"EGP 950,000",2019,Active,"46,000 KM",Used,Automatic,Petrol,"1,600",Blue,Cairo,SUV,images_yallamotor\peugeot_2008_2019_84096\img_1.jpg; images_yallamotor\peugeot_2008_2019_84096\img_2.jpg; images_yallamotor\peugeot_2008_2019_84096\img_3.jpg; images_yallamotor\peugeot_2008_2019_84096\img_4.jpg; images_yallamotor\peugeot_2008_2019_84096\img_5.jpg; images_yallamotor\peugeot_2008_2019_84096\img_6.jpg; images_yallamotor\peugeot_2008_2019_84096\img_7.jpg; images_yallamotor\peugeot_2008_2019_84096\img_8.jpg; images_yallamotor\peugeot_2008_2019_84096\img_9.jpg; images_yallamotor\peugeot_2008_2019_84096\img_10.jpg; images_yallamotor\peugeot_2008_2019_84096\img_11.jpg; images_yallamotor\peugeot_2008_2019_84096\img_12.jpg,https://egypt.yallamotor.com/used-cars/peugeot/2008/2019/used-peugeot-2008-2019-cairo-1609310
Used Peugeot 2008 1.6L (115HP) Active+ 2019,Peugeot,2008,"EGP 950,000",2019,1.6L (115Hp) Active+,"127,000 KM",Used,Automatic,Diesel,"1,600",Gray,Cairo,SUV,images_yallamotor\peugeot_2008_2019_12478\img_1.jpg; images_yallamotor\peugeot_2008_2019_12478\img_2.jpg; images_yallamotor\peugeot_2008_2019_12478\img_3.jpg; images_yallamotor\peugeot_2008_2019_12478\img_4.jpg,https://egypt.yallamotor.com/used-cars/peugeot/2008/2019/used-peugeot-2008-2019-cairo-1654434
Used Peugeot 2008 e-2008 2020,Peugeot,2008,"EGP 900,000",2020,E-,"95,000 KM",Used,Automatic,Petrol,-,Red,Mansoura,SUV,images_yallamotor\peugeot_2008_2020_26664\img_1.jpg; images_yallamotor\peugeot_2008_2020_26664\img_2.jpg; images_yallamotor\peugeot_2008_2020_26664\img_3.jpg; images_yallamotor\peugeot_2008_2020_26664\img_4.jpg; images_yallamotor\peugeot_2008_2020_26664\img_5.jpg; images_yallamotor\peugeot_2008_2020_26664\img_6.jpg,https://egypt.yallamotor.com/used-cars/peugeot/2008/2020/used-peugeot-2008-2020-mansoura-1660560
Used Peugeot 2008 1.2L 129HP 2021,Peugeot,2008,"EGP 1,000,000",2021,1.2L 129Hp,"97,000 KM",Used,Automatic,Petrol,"1,200",Blue,Cairo,SUV,images_yallamotor\peugeot_2008_2021_68940\img_1.jpeg; images_yallamotor\peugeot_2008_2021_68940\img_2.jpeg; images_yallamotor\peugeot_2008_2021_68940\img_3.jpeg; images_yallamotor\peugeot_2008_2021_68940\img_4.jpeg; images_yallamotor\peugeot_2008_2021_68940\img_5.jpeg; images_yallamotor\peugeot_2008_2021_68940\img_6.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/2008/2021/used-peugeot-2008-2021-cairo-1501815
Used Peugeot 2008 1.2T (155HP) GT 2021,Peugeot,2008,"EGP 1,300,000",2021,1.2T (155Hp) Gt,"30,000 KM",Used,Automatic,Petrol,1,Gray,Cairo,SUV,images_yallamotor\peugeot_2008_2021_86336\img_1.jpeg; images_yallamotor\peugeot_2008_2021_86336\img_2.jpeg; images_yallamotor\peugeot_2008_2021_86336\img_3.jpeg; images_yallamotor\peugeot_2008_2021_86336\img_4.jpeg; images_yallamotor\peugeot_2008_2021_86336\img_5.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/2008/2021/used-peugeot-2008-2021-cairo-1592743
Used Peugeot 2008 1.2T GT 155HP 2022,Peugeot,2008,"EGP 1,400,000",2022,1.2T Gt 155Hp,"60,000 KM",Used,Automatic,Petrol,"1,199",Black,Cairo,SUV,images_yallamotor\peugeot_2008_2022_2103\img_1.jpeg; images_yallamotor\peugeot_2008_2022_2103\img_2.jpeg; images_yallamotor\peugeot_2008_2022_2103\img_3.jpeg; images_yallamotor\peugeot_2008_2022_2103\img_4.jpeg,https://egypt.yallamotor.com/used-cars/peugeot/2008/2022/used-peugeot-2008-2022-cairo-1487955
Used Peugeot 2008 1.2T Allure Turbo (155HP) 2022,Peugeot,2008,"EGP 1,075,000",2022,1.2T Allure Turbo (155Hp),"60,000 KM",Used,Automatic,Petrol,"1,200",Bronze,Cairo,Hatchback,images_yallamotor\peugeot_2008_2022_16051\img_1.jpg; images_yallamotor\peugeot_2008_2022_16051\img_2.jpg; images_yallamotor\peugeot_2008_2022_16051\img_3.jpg,https://egypt.yallamotor.com/used-cars/peugeot/2008/2022/used-peugeot-2008-2022-cairo-2047237
