Brand,Model,Trim,Year,Price,Mileage,Color,Fuel Type,Body Shape,Transmission,Engine Capacity,Cylinder Count,Image Paths
Audi,A5-sedan,A5 Sedan,2019,"2,300,000","102,000 KM",Maroon,Petrol,,Automatic,"1,400",,images_yallamotor\audi_a5-sedan_2019_19831\img_1.jpg; images_yallamotor\audi_a5-sedan_2019_19831\img_2.jpg; images_yallamotor\audi_a5-sedan_2019_19831\img_3.jpg; images_yallamotor\audi_a5-sedan_2019_19831\img_4.jpg; images_yallamotor\audi_a5-sedan_2019_19831\img_5.jpg; images_yallamotor\audi_a5-sedan_2019_19831\img_6.jpg; images_yallamotor\audi_a5-sedan_2019_19831\img_7.jpg; images_yallamotor\audi_a5-sedan_2019_19831\img_8.jpg; images_yallamotor\audi_a5-sedan_2019_19831\img_9.jpg; images_yallamotor\audi_a5-sedan_2019_19831\img_10.jpg; images_yallamotor\audi_a5-sedan_2019_19831\img_11.jpg; images_yallamotor\audi_a5-sedan_2019_19831\img_12.jpg; images_yallamotor\audi_a5-sedan_2019_19831\img_13.jpg
Audi,Q3,Base/Standard,2015,"1,100,000","160,000 KM",Silver,-,,Automatic,"1,400",,images_yallamotor\audi_q3_2015_60584\img_1.jpeg; images_yallamotor\audi_q3_2015_60584\img_2.jpeg; images_yallamotor\audi_q3_2015_60584\img_3.jpeg; images_yallamotor\audi_q3_2015_60584\img_4.jpeg; images_yallamotor\audi_q3_2015_60584\img_5.jpeg; images_yallamotor\audi_q3_2015_60584\img_6.jpeg; images_yallamotor\audi_q3_2015_60584\img_7.jpeg; images_yallamotor\audi_q3_2015_60584\img_8.jpeg; images_yallamotor\audi_q3_2015_60584\img_9.jpeg; images_yallamotor\audi_q3_2015_60584\img_10.jpeg; images_yallamotor\audi_q3_2015_60584\img_11.jpeg
Audi,Q3,1.4L (150 Hp),2016,"1,350,000","170,000 KM",Silver,Petrol,,Automatic,"1,984",,images_yallamotor\audi_q3_2016_84620\img_1.jpg; images_yallamotor\audi_q3_2016_84620\img_2.jpg; images_yallamotor\audi_q3_2016_84620\img_3.jpg
Audi,Q3,Base/Standard,2017,"990,000","170,000 KM",Gray,Petrol,,-,"1,600",,images_yallamotor\audi_q3_2017_97670\img_1.jpg; images_yallamotor\audi_q3_2017_97670\img_2.jpg; images_yallamotor\audi_q3_2017_97670\img_3.jpg; images_yallamotor\audi_q3_2017_97670\img_4.jpg
Audi,Q3,1.4L (150 Hp),2018,"2,000,000","53,000 KM",Gray,Petrol,,Automatic,-,,images_yallamotor\audi_q3_2018_12729\img_1.jpeg; images_yallamotor\audi_q3_2018_12729\img_2.jpeg; images_yallamotor\audi_q3_2018_12729\img_3.jpeg
Audi,Q3,35 Tfsi (150 Hp),2021,"2,250,000","97,022 KM",Red,Petrol,,Automatic,"1,400",,images_yallamotor\audi_q3_2021_26788\img_1.jpeg; images_yallamotor\audi_q3_2021_26788\img_2.jpeg; images_yallamotor\audi_q3_2021_26788\img_3.jpeg; images_yallamotor\audi_q3_2021_26788\img_4.jpeg; images_yallamotor\audi_q3_2021_26788\img_5.jpeg; images_yallamotor\audi_q3_2021_26788\img_6.jpeg; images_yallamotor\audi_q3_2021_26788\img_7.jpeg; images_yallamotor\audi_q3_2021_26788\img_8.jpeg; images_yallamotor\audi_q3_2021_26788\img_9.jpeg; images_yallamotor\audi_q3_2021_26788\img_10.jpeg
Bmw,1-series-sedan,1 Series Sedan,2023,"4,300,000","12,000 KM",Blue,Petrol,,Automatic,252,,images_yallamotor\bmw_1-series-sedan_2023_56207\img_1.jpg; images_yallamotor\bmw_1-series-sedan_2023_56207\img_2.jpg; images_yallamotor\bmw_1-series-sedan_2023_56207\img_3.jpg; images_yallamotor\bmw_1-series-sedan_2023_56207\img_4.jpg; images_yallamotor\bmw_1-series-sedan_2023_56207\img_5.jpg
Bmw,1-series,1 Series,2014,"955,000","148,000 KM",Silver,Petrol,,-,"1,600",,images_yallamotor\bmw_1-series_2014_69618\img_1.jpg; images_yallamotor\bmw_1-series_2014_69618\img_2.jpg; images_yallamotor\bmw_1-series_2014_69618\img_3.jpg; images_yallamotor\bmw_1-series_2014_69618\img_4.jpg
Bmw,1-series,1 Series,2020,"1,590,000","111,000 KM",White,Petrol,,-,"1,600",,images_yallamotor\bmw_1-series_2020_83622\img_1.jpg; images_yallamotor\bmw_1-series_2020_83622\img_2.jpg; images_yallamotor\bmw_1-series_2020_83622\img_3.jpg; images_yallamotor\bmw_1-series_2020_83622\img_4.jpg
Bmw,1-series,1 Series 118I,2021,"1,365,000","95,000 KM",Red,Petrol,,Automatic,"1,499",,images_yallamotor\bmw_1-series_2021_97230\img_1.jpg; images_yallamotor\bmw_1-series_2021_97230\img_2.jpg; images_yallamotor\bmw_1-series_2021_97230\img_3.jpg; images_yallamotor\bmw_1-series_2021_97230\img_4.jpg
