Brand,Model,Trim,Year,Price,Mileage,Color,Fuel Type,Body Shape,Transmission,Engine Capacity,Cylinder Count,Image Paths
Seat,Ibiza,1.6 A/T H/B,2015.0,550000,"180,000
KM",Black,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2015\car_img_1.jpg; images\Seat Ibiza 2015\car_img_2.jpg; images\Seat Ibiza 2015\car_img_3.jpg; images\Seat Ibiza 2015\car_img_4.jpg; images\Seat Ibiza 2015\car_img_5.jpg; images\Seat Ibiza 2015\car_img_6.jpg
Seat,Ibiza,1.0 A/T Turbo FR,2024.0,1100000,"16,000
KM",Red,Gas,Hatchback,Automatic,1000,3,images\Seat Ibiza 2024\car_img_1.jpg; images\Seat Ibiza 2024\car_img_2.jpg; images\Seat Ibiza 2024\car_img_3.jpg; images\Seat Ibiza 2024\car_img_4.jpg; images\Seat Ibiza 2024\car_img_5.jpg
Seat,Ibiza,Unspecified trim,2024.0,1000000,"25,000
KM",White,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2024\car_img_1.jpg; images\Seat Ibiza 2024\car_img_2.jpg; images\Seat Ibiza 2024\car_img_3.jpg; images\Seat Ibiza 2024\car_img_4.jpg; images\Seat Ibiza 2024\car_img_5.jpg; images\Seat Ibiza 2024\car_img_6.jpg; images\Seat Ibiza 2024\car_img_7.jpg; images\Seat Ibiza 2024\car_img_8.jpg; images\Seat Ibiza 2024\car_img_9.jpg; images\Seat Ibiza 2024\car_img_10.jpg; images\Seat Ibiza 2024\car_img_11.jpg
Seat,Ibiza,Unspecified trim,2007.0,320000,"94,000
KM",Black,Gas,Hatchback,Manual,1400,4,images\Seat Ibiza 2007\car_img_1.jpg; images\Seat Ibiza 2007\car_img_2.jpg; images\Seat Ibiza 2007\car_img_3.jpg; images\Seat Ibiza 2007\car_img_4.jpg; images\Seat Ibiza 2007\car_img_5.jpg; images\Seat Ibiza 2007\car_img_6.jpg; images\Seat Ibiza 2007\car_img_7.jpg
Seat,Ibiza,1.6 A/T FR Plus,2019.0,790000,"118,000
KM",Dark Grey,Diesel,Hatchback,Automatic,1600,4,images\Seat Ibiza 2019\car_img_1.jpg; images\Seat Ibiza 2019\car_img_2.jpg; images\Seat Ibiza 2019\car_img_3.jpg; images\Seat Ibiza 2019\car_img_4.jpg; images\Seat Ibiza 2019\car_img_5.jpg; images\Seat Ibiza 2019\car_img_6.jpg; images\Seat Ibiza 2019\car_img_7.jpg; images\Seat Ibiza 2019\car_img_8.jpg; images\Seat Ibiza 2019\car_img_9.jpg
Seat,Ibiza,1.6 A/T Reference,2021.0,800000,"81,000
KM",Blue,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2021\car_img_1.jpg; images\Seat Ibiza 2021\car_img_2.jpg; images\Seat Ibiza 2021\car_img_3.jpg; images\Seat Ibiza 2021\car_img_4.jpg; images\Seat Ibiza 2021\car_img_5.jpg; images\Seat Ibiza 2021\car_img_6.jpg; images\Seat Ibiza 2021\car_img_7.jpg; images\Seat Ibiza 2021\car_img_8.jpg; images\Seat Ibiza 2021\car_img_9.jpg; images\Seat Ibiza 2021\car_img_10.jpg
Seat,Ibiza,1.6 A/T Station,2014.0,499000,"255,000
KM",Silver,Gas,Station,Automatic,1600,4,images\Seat Ibiza 2014\car_img_1.jpg; images\Seat Ibiza 2014\car_img_2.jpg; images\Seat Ibiza 2014\car_img_3.jpg; images\Seat Ibiza 2014\car_img_4.jpg; images\Seat Ibiza 2014\car_img_5.jpg; images\Seat Ibiza 2014\car_img_6.jpg; images\Seat Ibiza 2014\car_img_7.jpg; images\Seat Ibiza 2014\car_img_8.jpg; images\Seat Ibiza 2014\car_img_9.jpg
Seat,Ibiza,1.6 A/T H/B REF,2018.0,750000,"140,000
KM",Silver,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2018\car_img_1.jpg; images\Seat Ibiza 2018\car_img_2.jpg; images\Seat Ibiza 2018\car_img_3.jpg; images\Seat Ibiza 2018\car_img_4.jpg; images\Seat Ibiza 2018\car_img_5.jpg; images\Seat Ibiza 2018\car_img_6.jpg; images\Seat Ibiza 2018\car_img_7.jpg; images\Seat Ibiza 2018\car_img_8.jpg
Seat,Ibiza,Unspecified trim,2011.0,420000,"203,000
KM",Black,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2011\car_img_1.jpg; images\Seat Ibiza 2011\car_img_2.jpg; images\Seat Ibiza 2011\car_img_3.jpg; images\Seat Ibiza 2011\car_img_4.jpg; images\Seat Ibiza 2011\car_img_5.jpg
Seat,Ibiza,1.6 A/T Reference,2021.0,800000,"98,500
KM",Dark Grey,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2021\car_img_1.jpg; images\Seat Ibiza 2021\car_img_2.jpg; images\Seat Ibiza 2021\car_img_3.jpg; images\Seat Ibiza 2021\car_img_4.jpg; images\Seat Ibiza 2021\car_img_5.jpg; images\Seat Ibiza 2021\car_img_6.jpg
Seat,Ibiza,1.6 A/T Reference,2021.0,825000,"38,000
KM",Black,Gas,Hatchback,Automatic,1600,4,images\Seat Ibiza 2021\car_img_1.jpg; images\Seat Ibiza 2021\car_img_2.jpg; images\Seat Ibiza 2021\car_img_3.jpg; images\Seat Ibiza 2021\car_img_4.jpg; images\Seat Ibiza 2021\car_img_5.jpg; images\Seat Ibiza 2021\car_img_6.jpg; images\Seat Ibiza 2021\car_img_7.jpg; images\Seat Ibiza 2021\car_img_8.jpg; images\Seat Ibiza 2021\car_img_9.jpg; images\Seat Ibiza 2021\car_img_10.jpg; images\Seat Ibiza 2021\car_img_11.jpg
