Car Title,Brand,Model,Price,Year,Trim,Transmission,Fuel Type,Body Type,Power,Speeds,Horsepower,Fuel,Consumption,Width,Length,Height,Wheel Base,Seats,Number of Cylinders,Fuel Tank Capacity,Torque,Acceleration,Image Paths,URL
Alfa Romeo Stelvio 2025 A/T / Veloce New Cash or Installment,Alpha Romeo,Stelvio,"3,550,000 EGP",2025,Veloce,automatic,gas,SUV,2000,8,280,95,7,"1,903","4,693","1,684",2818,5,4,64,400,6.7,images\Alpha_Romeo_Stelvio_Veloce_43217\img_1.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_2.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_3.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_4.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_5.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_6.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_7.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_8.jpg,https://eg.hatla2ee.com/en/new-car/alpha-romeo/Stelvio/50567
Alfa Romeo Stelvio 2026 A/T / Sprint New Cash or Installment,Alpha Romeo,Stelvio,"3,390,000 EGP",2026,Sprint,automatic,gas,Sedan,2000,8,200,95,6.9,"1,873","4,639","1,426",2820,5,4,58,330,4.7,images\Alpha_Romeo_Stelvio_Sprint_49162\img_1.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_2.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_3.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_4.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_5.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_6.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_7.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_8.jpg,https://eg.hatla2ee.com/en/new-car/alpha-romeo/Stelvio/50963
Alfa Romeo Stelvio 2026 A/T / Veloce New Cash or Installment,Alpha Romeo,Stelvio,"3,650,000 EGP",2026,Veloce,automatic,gas,SUV,2000,8,280,95,7,"1,903","4,693","1,684",2818,5,4,64,400,6.7,images\Alpha_Romeo_Stelvio_Veloce_54156\img_1.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_2.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_3.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_4.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_5.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_6.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_7.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_8.jpg,https://eg.hatla2ee.com/en/new-car/alpha-romeo/Stelvio/50964
Alfa Romeo Tonale 2024 A/T / TI New Cash or Installment,Alpha Romeo,Tonale,"2,690,000 EGP",2024,TI,automatic,gas,SUV,2000,9,256,95,N/A,"2,082","4,528","1,693",2636,5,4,55,400,8.1,images\Alpha_Romeo_Tonale_TI_59619\img_1.png; images\Alpha_Romeo_Tonale_TI_59619\img_2.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_3.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_4.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_5.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_6.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_7.png; images\Alpha_Romeo_Tonale_TI_59619\img_8.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_9.png,https://eg.hatla2ee.com/en/new-car/alpha-romeo/Tonale/46283
Alfa Romeo Tonale 2024 A/T / Veloce New Cash or Installment,Alpha Romeo,Tonale,"2,950,000 EGP",2024,Veloce,automatic,gas,SUV,2000,9,256,95,N/A,"2,082","4,528","1,693",2636,5,4,55,400,8.1,images\Alpha_Romeo_Tonale_Veloce_65786\img_1.jpg; images\Alpha_Romeo_Tonale_Veloce_65786\img_2.jpg; images\Alpha_Romeo_Tonale_Veloce_65786\img_3.jpg; images\Alpha_Romeo_Tonale_Veloce_65786\img_4.jpg; images\Alpha_Romeo_Tonale_Veloce_65786\img_5.png; images\Alpha_Romeo_Tonale_Veloce_65786\img_6.png; images\Alpha_Romeo_Tonale_Veloce_65786\img_7.png; images\Alpha_Romeo_Tonale_Veloce_65786\img_8.jpg; images\Alpha_Romeo_Tonale_Veloce_65786\img_9.jpg,https://eg.hatla2ee.com/en/new-car/alpha-romeo/Tonale/46284
Alfa Romeo Tonale 2025 AT / sprint New Cash or Installment,Alpha Romeo,Tonale,"2,625,000 EGP",2025,sprint,automatic,gas,SUV,2000,9,256,95,N/A,"2,082","4,528","1,693",2636,5,4,55,400,8.1,images\Alpha_Romeo_Tonale_sprint_69482\img_1.png; images\Alpha_Romeo_Tonale_sprint_69482\img_2.jpg; images\Alpha_Romeo_Tonale_sprint_69482\img_3.png; images\Alpha_Romeo_Tonale_sprint_69482\img_4.png,https://eg.hatla2ee.com/en/new-car/alpha-romeo/Tonale/50887
Alfa Romeo Tonale 2025 A/T / Veloce New Cash or Installment,Alpha Romeo,Tonale,"2,825,000 EGP",2025,Veloce,automatic,gas,SUV,2000,9,256,95,N/A,"2,082","4,528","1,693",2636,5,4,55,400,8.1,images\Alpha_Romeo_Tonale_Veloce_72216\img_1.png; images\Alpha_Romeo_Tonale_Veloce_72216\img_2.png; images\Alpha_Romeo_Tonale_Veloce_72216\img_3.png; images\Alpha_Romeo_Tonale_Veloce_72216\img_4.jpg,https://eg.hatla2ee.com/en/new-car/alpha-romeo/Tonale/50888
Arcfox Alpha s5 2026 A/T / Air New Cash or Installment,Arcfox,Alpha S5,"1,499,900 EGP",2026,Air,automatic,Electric,Sedan,N/A,N/A,268,N/A,N/A,"1,930","4,820","1,480",2900,5,N/A,N/A,360,N/A,images\Arcfox_Alpha_S5_Air_74861\img_1.jpg; images\Arcfox_Alpha_S5_Air_74861\img_2.png; images\Arcfox_Alpha_S5_Air_74861\img_3.jpg; images\Arcfox_Alpha_S5_Air_74861\img_4.jpg; images\Arcfox_Alpha_S5_Air_74861\img_5.jpg; images\Arcfox_Alpha_S5_Air_74861\img_6.jpg; images\Arcfox_Alpha_S5_Air_74861\img_7.jpg; images\Arcfox_Alpha_S5_Air_74861\img_8.jpg; images\Arcfox_Alpha_S5_Air_74861\img_9.jpg,https://eg.hatla2ee.com/en/new-car/arcfox/alpha-s5/51024
Arcfox Alpha s5 2026 A/T / Pro New Cash or Installment,Arcfox,Alpha S5,"1,649,900 EGP",2026,Pro,automatic,Electric,Sedan,N/A,N/A,523,N/A,N/A,"1,930","4,820","1,480",2900,5,N/A,N/A,N/A,N/A,images\Arcfox_Alpha_S5_Pro_78536\img_1.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_2.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_3.png; images\Arcfox_Alpha_S5_Pro_78536\img_4.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_5.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_6.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_7.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_8.jpg; images\Arcfox_Alpha_S5_Pro_78536\img_9.jpg,https://eg.hatla2ee.com/en/new-car/arcfox/alpha-s5/51025
Arcfox Alpha T5 2026 A/T / Air New Cash or Installment,Arcfox,Alpha T5,"1,599,900 EGP",2026,Air,automatic,Electric,SUV,N/A,N/A,248,N/A,N/A,"1,936","4,690","1,650",2845,5,N/A,N/A,360,N/A,images\Arcfox_Alpha_T5_Air_82449\img_1.jpg; images\Arcfox_Alpha_T5_Air_82449\img_2.jpg; images\Arcfox_Alpha_T5_Air_82449\img_3.jpg; images\Arcfox_Alpha_T5_Air_82449\img_4.jpg; images\Arcfox_Alpha_T5_Air_82449\img_5.jpg; images\Arcfox_Alpha_T5_Air_82449\img_6.jpg; images\Arcfox_Alpha_T5_Air_82449\img_7.jpg; images\Arcfox_Alpha_T5_Air_82449\img_8.png; images\Arcfox_Alpha_T5_Air_82449\img_9.jpg,https://eg.hatla2ee.com/en/new-car/arcfox/alpha-t5/51022
